year,region,farmer,farmer_gender,fertilizer_treatment,code,mission_number,date_surveyed,ose_count,temperature,percent_ground_cover,ose_damage_percent,yield_date_havested,rendement_en_kg_ha
2021,Kaffrine,02.76,M,control,02-76-00.,3,September 28th to october 5th,54,34,60,0,October 20th to 31th,245
2021,Kaffrine,02.76,M,fertilized,02-76-01.,1,July 27th to august 3th,42,35,50,2,October 20th to 31th,1105
2021,Kaffrine,02.76,M,fertilized,02-76-01.,2,August 30th toseptember 4th,28,31,65,3,October 20th to 31th,1105
2021,Kaffrine,02.76,M,fertilized,02-76-01.,3,September 28th to october 5th,20,34,65,0,October 20th to 31th,1105
2021,Kaffrine,02.77,M,control,02-77-00.,1,July 27th to august 3th,33,33,95,3,October 20th to 31th,800
2021,Kaffrine,02.77,M,control,02-77-00.,2,August 30th toseptember 4th,32,32,80,4,October 20th to 31th,800
2021,Kaffrine,02.77,M,control,02-77-00.,3,September 28th to october 5th,50,34,80,0,October 20th to 31th,800
2021,Kaffrine,02.77,M,fertilized,02-77-01.,1,July 27th to august 3th,46,33,90,4,October 20th to 31th,1440
2021,Kaffrine,02.77,M,fertilized,02-77-01.,2,August 30th toseptember 4th,28,32,90,4,October 20th to 31th,1440
2021,Kaffrine,02.77,M,fertilized,02-77-01.,3,September 28th to october 5th,7,34,90,0,October 20th to 31th,1440
2021,Kaffrine,02.78,M,control,02-78-00.,1,July 27th to august 3th,56,36,65,3,October 20th to 31th,1000
2021,Kaffrine,02.78,M,control,02-78-00.,2,August 30th toseptember 4th,37,31,75,9,October 20th to 31th,1000
2021,Kaffrine,02.78,M,control,02-78-00.,3,September 28th to october 5th,54,34,75,1,October 20th to 31th,1000
2021,Kaffrine,02.78,M,fertilized,02-78-01.,1,July 27th to august 3th,36,36,70,2,October 20th to 31th,1600
2021,Kaffrine,02.78,M,fertilized,02-78-01.,2,August 30th toseptember 4th,32,31,80,5,October 20th to 31th,1600
2021,Kaffrine,02.78,M,fertilized,02-78-01.,3,September 28th to october 5th,15,34,80,0,October 20th to 31th,1600
2021,Kaffrine,02.79,M,control,02-79-00.,1,July 27th to august 3th,63,25,75,3,October 20th to 31th,1200
2021,Kaffrine,02.79,M,control,02-79-00.,2,August 30th toseptember 4th,31,23,65,4,October 20th to 31th,1200
2021,Kaffrine,02.79,M,control,02-79-00.,3,September 28th to october 5th,44,28,65,0,October 20th to 31th,1200
2021,Kaffrine,02.79,M,fertilized,02-79-01.,1,July 27th to august 3th,45,25,65,5,October 20th to 31th,1800
2021,Kaffrine,02.79,M,fertilized,02-79-01.,2,August 30th toseptember 4th,33,23,70,0,October 20th to 31th,1800
2021,Kaffrine,02.79,M,fertilized,02-79-01.,3,September 28th to october 5th,8,28,70,0,October 20th to 31th,1800
2021,Kaffrine,02.80,M,control,02-80-00.,1,July 27th to august 3th,37,35,75,8,October 20th to 31th,800
2021,Kaffrine,02.80,M,control,02-80-00.,2,August 30th toseptember 4th,41,29,70,8,October 20th to 31th,800
2021,Kaffrine,02.80,M,control,02-80-00.,3,September 28th to october 5th,48,34,70,0,October 20th to 31th,800
2021,Kaffrine,02.80,M,fertilized,02-80-01.,1,July 27th to august 3th,29,34,85,1,October 20th to 31th,1120
